num_iter,objectids_to_keep,prot,nn_d,area_buff,prox,eca,flux,awf,pc,protconn,protconn_prot,protconn_unprot,protconn_trans,protconn_within,protconn_contig,iic,bc,degree,clustering_coeff,compartment,cohesion,gyrate,aw_gyrate,mean_patch_area,mean_patch_peri,mean_patch_shape,total_edge,edge_density
69,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",12.293,40923.46135,904755876.5,17160.04158,NA,NA,NA,NA,4.9529,25.4159,25.4159,74.5841,3.6941,1.2588,NA,0.071428571,0.102040816,0.19047619,1,97.62789435,10390.39682,29240.91963,17950,76000,1.421273314,0,0
70,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",10.7757,43101.80656,808806223.9,17159.00972,NA,NA,NA,NA,4.2956,22.755,22.755,77.245,3.3181,0.9775,NA,0.071428571,0.107142857,0.172619048,1,97.62267733,8680.301778,29461.96603,90400,163000,1.508970582,0,0
71,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",12.265,40275.79553,902282853.1,17160.85387,NA,NA,NA,NA,4.9523,25.4249,25.4249,74.5751,3.6932,1.2591,NA,0.071428571,0.091836735,0.119047619,1,97.62405456,10348.72887,29249.1674,19100,86000,1.571197016,0,0
72,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",11.8026,38229.75454,875932622.6,17156.47056,NA,NA,NA,NA,4.8685,25.097,25.097,74.903,3.6466,1.2218,NA,0.071428571,0.107142857,0.172619048,1,97.62619765,10400.82139,29345.30349,44650,150000,1.778094619,0,0
73,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",12.0682,41091.84544,873596843.8,17139.60248,NA,NA,NA,NA,4.7957,23.2527,23.2527,76.7473,3.6805,1.1151,NA,0,0.102040816,0.172619048,1,97.61655809,9910.743271,29306.61829,31400,117000,1.656015196,0,0
74,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",11.3581,43783.84381,827198656.9,17135.23959,NA,NA,NA,NA,4.3628,18.7477,18.7477,81.2523,3.5449,0.8179,NA,0,0.096938776,0.172619048,1,97.62883094,5601.069597,29422.92614,62700,154000,1.614665902,0,0
75,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",11.5047,50072.3694,841695107.5,17063.56022,NA,NA,NA,NA,4.8642,25.9166,25.9166,74.0834,3.6036,1.2606,NA,0.071428571,0.107142857,0.172619048,1,97.59880909,9910.743271,29412.03016,40466.66667,142000,1.830111888,0,0
76,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",11.6267,39704.1348,864684182.5,17161.98162,NA,NA,NA,NA,4.8535,25.7546,25.7546,74.2454,3.6035,1.25,NA,0.071428571,0.117346939,0.172619048,1,97.63209905,10460.89137,29375.26502,52450,156000,1.828812531,0,0
77,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",11.0763,42154.68796,823833118.6,17159.00972,NA,NA,NA,NA,4.4547,23.0164,23.0164,76.9836,3.4294,1.0253,NA,0.071428571,0.107142857,0.172619048,1,97.62626159,10533.07025,29321.62113,79600,214000,2.034844526,0,0
78,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",12.3539,42458.15571,905483809.6,17160.04158,NA,NA,NA,NA,4.9602,25.4488,25.4488,74.5512,3.6979,1.2623,NA,0.071428571,0.102040816,0.19047619,1,97.62959197,10379.99658,29230.84166,17100,87000,1.623990104,0,0
79,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",10.8366,44636.50092,809534157,17159.00972,NA,NA,NA,NA,4.304,22.8074,22.8074,77.1926,3.3223,0.9816,NA,0.071428571,0.107142857,0.172619048,1,97.62439433,8669.901532,29451.644,89500,175000,1.719392477,0,0
80,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",12.3258,41810.48988,903010786.2,17160.85387,NA,NA,NA,NA,4.9595,25.4577,25.4577,74.5423,3.697,1.2626,NA,0.071428571,0.091836735,0.119047619,1,97.62575343,10338.32862,29239.08346,18900,97000,1.752878613,0,0
81,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",11.8635,39764.4489,876660555.7,17156.47056,NA,NA,NA,NA,4.8759,25.1317,25.1317,74.8683,3.6505,1.2254,NA,0.071428571,0.107142857,0.172619048,1,97.62790844,10390.42114,29335.13149,43700,164000,2.016113043,0,0
82,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",12.1291,42626.5398,874324776.9,17139.60248,NA,NA,NA,NA,4.803,23.2906,23.2906,76.7094,3.6843,1.1186,NA,0,0.102040816,0.172619048,1,97.61826185,9901.143044,29296.49095,31150,127000,1.82791256,0,0
83,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",11.419,45242.74198,827926590,17135.23959,NA,NA,NA,NA,4.3702,18.7946,18.7946,81.2054,3.5489,0.8214,NA,0,0.096938776,0.172619048,1,97.63054464,5590.669351,29412.68972,62050,169000,1.847548673,0,0
84,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",11.5656,51489.01034,842423040.6,17063.56022,NA,NA,NA,NA,4.8716,25.9493,25.9493,74.0507,3.6074,1.2641,NA,0.071428571,0.107142857,0.172619048,1,97.60054349,9901.143044,29401.79973,39933.33333,146000,1.918733265,0,0
85,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",10.4387,47201.37174,783141469.1,17159.00972,NA,NA,NA,NA,4.3525,23.4555,23.4555,76.5445,3.3316,1.0209,NA,0.071428571,0.107142857,0.172619048,1,97.62273564,10610.92125,29440.81101,108600,247000,1.856533467,0,0
86,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",11.7163,47504.83949,864792160.1,17160.04158,NA,NA,NA,NA,4.8567,25.7229,25.7229,74.2771,3.6074,1.2493,NA,0.071428571,0.102040816,0.19047619,1,97.6261514,10457.84758,29347.33959,45750,118000,1.444975436,0,0
87,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",10.1989,49879.39839,768842507.5,17159.00972,NA,NA,NA,NA,4.2185,23.6391,23.6391,76.3609,3.2213,0.9972,NA,0.071428571,0.107142857,0.172619048,1,97.62088065,8747.75253,29572.15985,118350,203000,1.508413835,0,0
88,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",11.6882,46857.17366,862319136.7,17160.85387,NA,NA,NA,NA,4.856,25.7323,25.7323,74.2677,3.6064,1.2496,NA,0.071428571,0.091836735,0.119047619,1,97.62228498,10416.17962,29355.69404,47650,130000,1.582603797,0,0
